Position,Artist,Title,Year,Total,USA,UK,Europe,Key
83,Blondie,Heart of Glass,1979,22.929,11.965,14.494,13.501,0.52
84,Boyz II Men,End of the Road,1992,22.898,12.287,7.905,8.656,2.567
85,The Fugees,Killing Me Softly With His Song,1996,22.861,3.62,8.439,23.086,1.686
86,Tony Orlando & Dawn,Tie a Yellow Ribbon 'round the Old Oak Tree,1973,22.858,12.339,15.219,6.933,0.593
87,Fergie,Big Girls Don't Cry,2007,22.615,8.695,8.5,7.3,2.02
88,Shocking Blue,Venus,1970,22.535,9.366,12.32,14.32,1.118
89,Eagles,Hotel California,1977,22.532,17.333,6.862,8.99,1.085
90,Bing Crosby,Swinging On a Star,1944,22.468,15.761,2.2,0.571,0.516
91,The Beatles,All You Need is Love,1967,22.448,9.415,13.004,11.93,0.531
92,Chubby Checker,The Twist,1960,22.42,19.039,4.716,1.6,0.567
93,Nelly & Kelly Rowland,Dilemma,2002,22.401,7.323,6.011,15.361,1.41
94,The Beatles,She Loves You,1964,22.398,15.736,10.626,6.88,0.677
95,Beyonce,Crazy in Love,2003,22.139,10.03,3.632,10.282,2.651
96,The Black Eyed Peas,I Gotta Feeling,2009,22.126,8.074,9,14.476,0.567
97,John Lennon,(Just Like) Starting Over,1980,22.094,11.893,10.558,10.674,1.187
98,Culture Club,Do You Really Want to Hurt Me?,1982,22.065,5.67,9.988,19.035,0.55
99,Brandy & Monica,The Boy is Mine,1998,22.026,9.228,5.811,10.457,2.597
100,Madonna,Like a Prayer,1989,21.992,9.617,9.006,18.434,2.026
